title	pubdate	pubyear	journal	authors	volume	issue	pages	doi	pmid	elocationid	github	data	software
Systematic genetic analysis with ordered arrays of yeast deletion mutants.	2001 Dec 14	2001	Science	Tong AH, Evangelista M, Parsons AB, Xu H, Bader GD, Pagé N, <strong>Robinson M</strong>, Raghibizadeh S, Hogue CW, Bussey H, Andrews B, Tyers M, Boone C	294	5550	2364-8	10.1126/science.1065810	11743205				
High-resolution genetic mapping with ordered arrays of Saccharomyces cerevisiae deletion mutants.	2002 Nov	2002	Genetics	Jorgensen P, Nelson B, <strong>Robinson MD</strong>, Chen Y, Andrews B, Tyers M, Boone C	162	3	1091-9	10.1093/genetics/162.3.1091	12454058				
FunSpec: a web-based cluster interpreter for yeast.	2002 Nov 13	2002	BMC Bioinformatics	<strong>Robinson MD</strong>, Grigull J, Mohammad N, Hughes TR	3		35	10.1186/1471-2105-3-35	12431279				
Large-scale prediction of Saccharomyces cerevisiae gene function using overlapping transcriptional clusters.	2002 Jul	2002	Nat Genet	Wu LF, Hughes TR, Davierwala AP, <strong>Robinson MD</strong>, Stoughton R, Altschuler SJ	31	3	255-65	10.1038/ng906	12089522				
A panoramic view of yeast noncoding RNA processing.	2003 Jun 27	2003	Cell	Peng WT, <strong>Robinson MD</strong>, Mnaimneh S, Krogan NJ, Cagney G, Morris Q, Davierwala AP, Grigull J, Yang X, Zhang W, Mitsakakis N, Ryan OW, Datta N, Jojic V, Pal C, Canadien V, Richards D, Beattie B, Wu LF, Altschuler SJ, Roweis S, Frey BJ, Emili A, Greenblatt JF, Hughes TR	113	7	919-33	10.1016/s0092-8674(03)00466-5	12837249				
Definition and characterization of a "trypsinosome" from specific peptide characteristics by nano-HPLC-MS/MS and in silico analysis of complex protein mixtures.	2004 Nov-Dec	2004	J Proteome Res	Le Bihan T, <strong>Robinson MD</strong>, Stewart II, Figeys D	3	6	1138-48	10.1021/pr049909x	15595722				
The functional landscape of mouse gene expression.	2004	2004	J Biol	Zhang W, Morris QD, Chang R, Shai O, Bakowski MA, Mitsakakis N, Mohammad N, <strong>Robinson MD</strong>, Zirngibl R, Somogyi E, Laurin N, Eftekharpour E, Sat E, Grigull J, Pan Q, Peng WT, Krogan N, Greenblatt J, Fehlings M, van der Kooy D, Aubin J, Bruneau BG, Rossant J, Blencowe BJ, Frey BJ, Hughes TR	3	5	21	10.1186/jbiol16	15588312	doi: 10.1186/jbiol16			
Transcriptional networks: reverse-engineering gene regulation on a global scale.	2004 Dec	2004	Curr Opin Microbiol	Chua G, <strong>Robinson MD</strong>, Morris Q, Hughes TR	7	6	638-46	10.1016/j.mib.2004.10.009	15556037				
The promise of functional genomics: completing the encyclopedia of a cell.	2004 Oct	2004	Curr Opin Microbiol	Hughes TR, <strong>Robinson MD</strong>, Mitsakakis N, Johnston M	7	5	546-54	10.1016/j.mib.2004.08.015	15451511				
Genome-wide analysis of mRNA stability using transcription inhibitors and microarrays reveals posttranscriptional control of ribosome biogenesis factors.	2004 Jun	2004	Mol Cell Biol	Grigull J, Mnaimneh S, Pootoolal J, <strong>Robinson MD</strong>, Hughes TR	24	12	5534-47	10.1128/MCB.24.12.5534-5547.2004	15169913				
High-definition macromolecular composition of yeast RNA-processing complexes.	2004 Jan 30	2004	Mol Cell	Krogan NJ, Peng WT, Cagney G, <strong>Robinson MD</strong>, Haw R, Zhong G, Guo X, Zhang X, Canadien V, Richards DP, Beattie BK, Lalev A, Zhang W, Davierwala AP, Mnaimneh S, Starostine A, Tikuisis AP, Grigull J, Datta N, Bray JE, Hughes TR, Emili A, Greenblatt JF	13	2	225-39	10.1016/s1097-2765(04)00003-6	14759368				
The synthetic genetic interaction spectrum of essential genes.	2005 Oct	2005	Nat Genet	Davierwala AP, Haynes J, Li Z, Brost RL, <strong>Robinson MD</strong>, Yu L, Mnaimneh S, Ding H, Zhu H, Chen Y, Cheng X, Brown GW, Boone C, Andrews BJ, Hughes TR	37	10	1147-52	10.1038/ng1640	16155567				
Genome-wide analysis of mouse transcripts using exon microarrays and factor graphs.	2005 Sep	2005	Nat Genet	Frey BJ, Mohammad N, Morris QD, Zhang W, <strong>Robinson MD</strong>, Mnaimneh S, Chang R, Pan Q, Sat E, Rossant J, Bruneau BG, Aubin JE, Blencowe BJ, Hughes TR	37	9	991-6	10.1038/ng1630	16127451				
